chromogram_0_0,chromogram_0_1,chromogram_0_10,chromogram_0_11,chromogram_0_12,chromogram_0_2,chromogram_0_3,chromogram_0_4,chromogram_0_5,chromogram_0_6,chromogram_0_7,chromogram_0_8,chromogram_0_9,chromogram_10_0,chromogram_10_1,chromogram_10_10,chromogram_10_11,chromogram_10_12,chromogram_10_2,chromogram_10_3,chromogram_10_4,chromogram_10_5,chromogram_10_6,chromogram_10_7,chromogram_10_8,chromogram_10_9,chromogram_11_0,chromogram_11_1,chromogram_11_10,chromogram_11_11,chromogram_11_12,chromogram_11_2,chromogram_11_3,chromogram_11_4,chromogram_11_5,chromogram_11_6,chromogram_11_7,chromogram_11_8,chromogram_11_9,chromogram_1_0,chromogram_1_1,chromogram_1_10,chromogram_1_11,chromogram_1_12,chromogram_1_2,chromogram_1_3,chromogram_1_4,chromogram_1_5,chromogram_1_6,chromogram_1_7,chromogram_1_8,chromogram_1_9,chromogram_2_0,chromogram_2_1,chromogram_2_10,chromogram_2_11,chromogram_2_12,chromogram_2_2,chromogram_2_3,chromogram_2_4,chromogram_2_5,chromogram_2_6,chromogram_2_7,chromogram_2_8,chromogram_2_9,chromogram_3_0,chromogram_3_1,chromogram_3_10,chromogram_3_11,chromogram_3_12,chromogram_3_2,chromogram_3_3,chromogram_3_4,chromogram_3_5,chromogram_3_6,chromogram_3_7,chromogram_3_8,chromogram_3_9,chromogram_4_0,chromogram_4_1,chromogram_4_10,chromogram_4_11,chromogram_4_12,chromogram_4_2,chromogram_4_3,chromogram_4_4,chromogram_4_5,chromogram_4_6,chromogram_4_7,chromogram_4_8,chromogram_4_9,chromogram_5_0,chromogram_5_1,chromogram_5_10,chromogram_5_11,chromogram_5_12,chromogram_5_2,chromogram_5_3,chromogram_5_4,chromogram_5_5,chromogram_5_6,chromogram_5_7,chromogram_5_8,chromogram_5_9,chromogram_6_0,chromogram_6_1,chromogram_6_10,chromogram_6_11,chromogram_6_12,chromogram_6_2,chromogram_6_3,chromogram_6_4,chromogram_6_5,chromogram_6_6,chromogram_6_7,chromogram_6_8,chromogram_6_9,chromogram_7_0,chromogram_7_1,chromogram_7_10,chromogram_7_11,chromogram_7_12,chromogram_7_2,chromogram_7_3,chromogram_7_4,chromogram_7_5,chromogram_7_6,chromogram_7_7,chromogram_7_8,chromogram_7_9,chromogram_8_0,chromogram_8_1,chromogram_8_10,chromogram_8_11,chromogram_8_12,chromogram_8_2,chromogram_8_3,chromogram_8_4,chromogram_8_5,chromogram_8_6,chromogram_8_7,chromogram_8_8,chromogram_8_9,chromogram_9_0,chromogram_9_1,chromogram_9_10,chromogram_9_11,chromogram_9_12,chromogram_9_2,chromogram_9_3,chromogram_9_4,chromogram_9_5,chromogram_9_6,chromogram_9_7,chromogram_9_8,chromogram_9_9,spec_centr_0,spec_centr_1,spec_centr_10,spec_centr_11,spec_centr_12,spec_centr_2,spec_centr_3,spec_centr_4,spec_centr_5,spec_centr_6,spec_centr_7,spec_centr_8,spec_centr_9,species
0.650935112,0.594589512,0.716028694,0.933109099,0.69916973,0.540207774,1,0.221248253,0.3332691,0.176095744,0.566557606,0.295480997,0.460918851,0.88013292,1,0.675969189,0.851247383,1,0.26762586,0.60137529,0.203255133,1,0.216409172,0.393586435,0.303910318,0.437326116,1,0.945799931,0.721447063,0.732877634,0.701039186,0.327515107,0.89473019,0.255691034,0.51829338,0.170299609,0.585407218,0.330589742,0.46477947,0.34594186,0.394120342,0.931873609,1,0.549544526,0.782585761,0.874203215,0.128940398,0.22846055,0.229166431,0.524036972,0.292814404,0.670873032,0.167182652,0.28479072,1,0.9001064,0.393548391,0.615588515,0.536514954,0.067552062,0.393815436,0.512648581,0.632688763,0.308455639,0.758436776,0.100121993,0.367265753,0.702892329,0.576813404,0.234324986,0.540675013,0.328270004,0.038267729,0.752575314,0.896838887,0.836597528,0.296767572,0.530125713,0.104519429,0.659591426,0.426861517,0.301690627,0.104006706,0.839723878,0.417625496,0.095960335,0.838707979,1,0.884787273,0.378451163,0.3913203,0.082223565,0.65461684,0.243856423,0.162304841,0.043733185,1,0.647167492,0.613871068,0.686490597,0.919981592,1,0.416013963,0.310336268,0.037339996,0.352769658,0.184897823,0.15987475,0.027842992,0.747819042,0.756954595,1,0.582486253,0.601188861,0.663566536,0.647852845,0.573777608,0.024638006,0.134665528,0.373014377,0.385028322,0.05560886,0.278008984,0.279831841,0.273475432,0.240291635,0.371298618,0.270964888,1,1,0.046435791,0.138657803,0.305696259,0.352550935,0.126344716,0.117027965,0.075028595,0.048452013,0.424830128,0.624170167,0.2530087,0.301977112,0.312647052,0.297718824,0.446758884,0.295357649,0.364701544,0.470228466,0.149709513,0.179606003,0.091582512,0.726773382,0.272103074,0.193551373,0.147031886,0.197970131,2448.825434,2626.114383,2591.729621,2621.756723,2507.488463,2727.131772,2607.364141,2706.505251,2679.838992,2819.907919,2699.716018,2747.849799,2675.170702,flammea
1,0.895156159,0.730071644,0.723514493,0.673373911,0.336032254,0.91457601,0.268014547,0.502986669,0.170580689,0.595800475,0.335522977,0.485862325,0.341595981,0.470661544,0.319935373,0.387414852,0.496897806,0.156009793,0.198203264,0.103159263,0.778083979,0.256776437,0.202575599,0.162265839,0.221560253,0.939683641,1,0.703207776,0.867927463,1,0.277576162,0.632896662,0.218685639,1,0.215444153,0.420051273,0.322531793,0.467884281,0.63005054,0.560368351,0.739567824,0.9489401,0.691919352,0.565990472,1,0.224017275,0.331514088,0.179140783,0.56892287,0.302565456,0.494329818,0.328237047,0.367863595,0.952885311,1,0.538616771,0.790488268,0.857679513,0.129190087,0.233591931,0.242512123,0.537242582,0.305226687,0.705872505,0.159831776,0.274030801,1,0.888280974,0.388830259,0.60654495,0.51647295,0.06750873,0.425379818,0.546482473,0.663292754,0.319591391,0.77433472,0.101136129,0.369677422,0.679120086,0.547565179,0.21841124,0.555548979,0.328021585,0.040390072,0.78533076,0.918298485,0.856571722,0.307861096,0.526292985,0.10669393,0.650478469,0.417623029,0.287599612,0.097616324,0.860871026,0.424928198,0.114808086,0.838283189,1,0.905471791,0.398394924,0.399428938,0.079046466,0.612936572,0.234178018,0.156608078,0.041862299,1,0.669355057,0.697940479,0.695098288,0.907894291,1,0.425810685,0.315451972,0.035755519,0.319302507,0.19021651,0.164239503,0.028364219,0.711842329,0.73260499,1,0.557798584,0.568389474,0.629416072,0.707059312,0.633961708,0.025144133,0.123096065,0.387934947,0.398926589,0.058244605,0.25563409,0.251526326,0.245267294,0.243596979,0.386876609,0.264805673,1,1,0.053296266,0.143254004,0.289607377,0.332227111,0.137704934,0.115790681,0.074079836,0.049580406,0.446037647,0.610857144,0.25038165,0.270128118,0.280316667,2439.086581,2626.082525,2592.038594,2618.128546,2490.882461,2726.959055,2607.259049,2706.633447,2680.017663,2819.962076,2699.418682,2748.172574,2674.718389,flammea
0.964262781,0.823128226,0.745161687,0.722570974,0.656054724,0.349986355,0.946374907,0.288102694,0.489001229,0.170534723,0.603921551,0.3397782,0.520230149,0.399286284,0.511094944,0.365748203,0.434232536,0.559290384,0.166283484,0.230438954,0.123629507,0.871831927,0.237710108,0.217151266,0.185994855,0.266112138,1,1,0.746526465,0.883463681,1,0.290954841,0.687044571,0.244940552,1,0.209851481,0.45226022,0.344609333,0.519393371,0.566225597,0.50844818,0.777534135,0.97279485,0.684662854,0.607474756,1,0.227301315,0.33087393,0.183964319,0.577585546,0.316258876,0.546890144,0.2784589,0.327628291,0.986805929,1,0.525391052,0.801404206,0.841230565,0.12934618,0.248551936,0.266222024,0.561453704,0.325872212,0.757441253,0.136460893,0.259111438,1,0.856509978,0.363431209,0.591666613,0.486545655,0.066615622,0.489117304,0.6009466,0.713553114,0.336737298,0.799172191,0.096730866,0.378107447,0.648711388,0.501157528,0.192153377,0.580963702,0.330041825,0.043743705,0.855566147,0.94990974,0.88660968,0.329519183,0.52808346,0.104914794,0.64258564,0.406629584,0.268078251,0.092691438,0.89491728,0.441629893,0.153026372,0.854602416,1,0.938923683,0.432115429,0.415282863,0.072663587,0.561174866,0.222490558,0.150245667,0.041576405,1,0.712885226,0.855517123,0.727738918,0.891379993,1,0.447736356,0.330601507,0.032371343,0.277186885,0.20431456,0.175050026,0.031242106,0.658144912,0.697247855,1,0.527706609,0.52277857,0.58156281,0.821365397,0.748582487,0.025522835,0.110324464,0.414052422,0.420309885,0.066041866,0.225953014,0.214313289,0.209166471,0.264266468,0.4212096,0.260817121,1,1,0.06522947,0.15462219,0.270948971,0.308730141,0.16361389,0.115532618,0.074240562,0.053090342,0.492105395,0.58649668,0.245188584,0.230010448,0.242396284,2436.339919,2626.854677,2592.657435,2620.283709,2506.995021,2726.610502,2607.054153,2706.883991,2680.378683,2820.065389,2698.826246,2748.814492,2673.813208,flammea
1,0.844800003,0.741016162,0.721748761,0.655706998,0.34802491,0.941930058,0.282931755,0.490557535,0.170599884,0.604109669,0.336060994,0.516809235,0.384021903,0.500269674,0.355727064,0.427239675,0.552790257,0.164176903,0.224117698,0.119935321,0.854149902,0.239631797,0.21497274,0.18032857,0.258442253,0.996893138,1,0.736786089,0.882378019,1,0.288806109,0.677065889,0.239538849,1,0.2100611,0.448390219,0.338328037,0.512381935,0.593817778,0.523405098,0.770078486,0.969441557,0.684438058,0.600643071,1,0.225417396,0.330688155,0.183340276,0.576460792,0.311128513,0.539788643,0.286501847,0.334912162,0.980485555,1,0.524483531,0.800393638,0.842645184,0.128519223,0.245514478,0.26205596,0.557535873,0.32065179,0.750903494,0.13946515,0.262098009,1,0.864105369,0.369652594,0.594795827,0.491097148,0.066495109,0.478099942,0.591007776,0.704336142,0.332509656,0.797139532,0.095912045,0.377039687,0.653804513,0.511310507,0.201211153,0.575884826,0.328400733,0.043112882,0.844937701,0.944035993,0.881165598,0.323713236,0.528617905,0.1053794,0.646609074,0.408457028,0.273061687,0.097834272,0.88820779,0.436853251,0.145241339,0.853650809,1,0.932796435,0.423975432,0.413005362,0.074738825,0.573602152,0.224376313,0.151837072,0.043303036,1,0.705207485,0.824619587,0.71964118,0.895487047,1,0.441121289,0.327247463,0.033462947,0.286526017,0.201481756,0.17307931,0.031621948,0.667991026,0.706185323,1,0.530787607,0.531517621,0.590201068,0.797649559,0.725561305,0.02585818,0.113091525,0.410420828,0.416967069,0.064784672,0.230967738,0.221058732,0.214937185,0.260311308,0.414216118,0.26135966,1,1,0.06398921,0.153008027,0.274387836,0.311867509,0.156429121,0.115258608,0.073966091,0.052317878,0.485364541,0.590815339,0.245689827,0.236095039,0.248397352,2447.352924,2626.960429,2592.967269,2621.054847,2509.75695,2726.434708,2606.954326,2707.0063,2680.560958,2820.114554,2698.531162,2749.133624,2673.360384,flammea
1,0.850505303,0.740171751,0.719843702,0.655330384,0.348884889,0.942686364,0.28223009,0.490425579,0.170774462,0.605537558,0.33438155,0.519458393,0.383310889,0.503283203,0.355251908,0.426310286,0.553975846,0.164158343,0.224149414,0.120344092,0.854506213,0.238896941,0.215499242,0.179616942,0.259714997,0.981445212,1,0.735872442,0.879960673,1,0.289262029,0.677447776,0.239606108,1,0.209487294,0.449712076,0.336810141,0.515046764,0.608101621,0.533676448,0.769966888,0.969190237,0.689594815,0.601784821,1,0.224748796,0.330628433,0.18367836,0.577593889,0.309863866,0.542132653,0.295640071,0.342364393,0.980499957,1,0.531333074,0.801456684,0.841738155,0.128139597,0.245726375,0.262456649,0.55826366,0.319981196,0.753662948,0.145121078,0.267457936,1,0.86643167,0.382124668,0.595313349,0.490293044,0.066379915,0.479252089,0.591220343,0.70461546,0.332046015,0.799816062,0.097529257,0.38159089,0.653810118,0.51124127,0.205198951,0.575971662,0.327534136,0.043229449,0.84710285,0.943899225,0.881198402,0.322934497,0.530196819,0.106197415,0.653484407,0.408384953,0.271802684,0.096811503,0.888065738,0.435663403,0.145473855,0.855422103,1,0.932865274,0.42290307,0.413826427,0.074636905,0.579842767,0.224377768,0.150422289,0.040513204,1,0.705206701,0.824946803,0.718656327,0.896321599,1,0.439998127,0.327521131,0.033661066,0.290092632,0.201584298,0.171391413,0.02894383,0.668156586,0.707326842,1,0.529063808,0.532067511,0.590388921,0.797158393,0.725525853,0.025308096,0.114126762,0.41105063,0.415244616,0.063300887,0.231016887,0.221247166,0.214842597,0.260925048,0.414076846,0.261524715,1,1,0.064899528,0.154795428,0.27475569,0.309693751,0.153423767,0.115163483,0.073941007,0.052427365,0.486988821,0.590210206,0.245309163,0.235912796,0.248693493,2462.14897,2628.181372,2593.277364,2623.761193,2519.310605,2726.257898,2606.856258,2707.126614,2680.744392,2820.162039,2698.236824,2749.451517,2672.907388,flammea
1,0.846160584,0.739327711,0.719669507,0.657650135,0.349750636,0.943442325,0.281535219,0.490293902,0.170952833,0.606967216,0.332713732,0.522122539,0.395645386,0.507585736,0.354776982,0.424329336,0.548604538,0.164142196,0.224181149,0.120757695,0.854863614,0.238165604,0.216027646,0.178909514,0.26099535,0.99068244,1,0.734959765,0.879242725,1,0.289723711,0.677828959,0.239681401,1,0.208918981,0.451036755,0.335301719,0.517727233,0.616291562,0.535159214,0.769857267,0.968959553,0.694695825,0.602930191,1,0.22408584,0.330569273,0.184019162,0.578727876,0.308609588,0.544489412,0.305729742,0.347069751,0.980515491,1,0.540311078,0.802520771,0.840831784,0.127763564,0.245939751,0.262858916,0.558991463,0.319319642,0.756436632,0.150497279,0.270925603,1,0.864223503,0.384480807,0.595831131,0.489489841,0.066267249,0.480408339,0.591433836,0.7048942,0.331591512,0.80250653,0.101673662,0.385656104,0.653815019,0.506691734,0.19862594,0.576058823,0.326668732,0.043348685,0.849274987,0.943763352,0.881230939,0.322165568,0.531784668,0.10975562,0.659388275,0.408312254,0.267932105,0.08955302,0.887924223,0.434476805,0.145708737,0.857203071,1,0.932934966,0.421840294,0.414653271,0.076456216,0.585166779,0.22437919,0.148472506,0.036875974,1,0.705217172,0.825274766,0.717690498,0.897154353,1,0.438884385,0.327797548,0.034513999,0.293115077,0.201688852,0.169649178,0.027410638,0.66832217,0.708481004,1,0.527358138,0.532615896,0.590580245,0.796671363,0.725490476,0.025241518,0.114959025,0.411682745,0.413684601,0.064701763,0.231066109,0.221438539,0.214748286,0.261546379,0.413936148,0.261696222,1,1,0.066419936,0.156001964,0.27512337,0.308975993,0.155365704,0.115068799,0.073916563,0.052538078,0.488620622,0.589603898,0.244930782,0.235731636,0.24899178,2450.611823,2628.787922,2593.587651,2613.849217,2482.600919,2726.080125,2606.759925,2707.244913,2680.928961,2820.20787,2697.943261,2749.768165,2672.454223,flammea
1,0.89133065,0.725064838,0.726280033,0.673944516,0.340997602,0.918418249,0.264226245,0.502148485,0.171475334,0.60446677,0.325575092,0.501128123,0.344160355,0.471137444,0.317537234,0.389640301,0.497013715,0.155802399,0.198200399,0.105311202,0.780477755,0.252612803,0.205161865,0.158535374,0.228112431,0.950276449,1,0.698089309,0.872677418,1,0.280071239,0.634505461,0.219401558,1,0.211707415,0.427631876,0.314050774,0.48267896,0.62002219,0.557608232,0.738785096,0.952018973,0.696576042,0.572855803,1,0.219989027,0.331078215,0.181155837,0.575788421,0.294991691,0.50762778,0.31852191,0.370418821,0.952883962,1,0.547910363,0.797078438,0.851971449,0.126876075,0.234504797,0.244980193,0.541663878,0.301260045,0.721832258,0.152595215,0.277479459,1,0.880914432,0.382972545,0.610007756,0.511301465,0.066674564,0.431378707,0.548058608,0.665051681,0.317106127,0.790218883,0.100010696,0.376759663,0.679227711,0.538061877,0.204792797,0.556315985,0.322826133,0.040959828,0.79736983,0.918031043,0.85671849,0.303626418,0.536056802,0.10891064,0.6640998,0.417275137,0.282236351,0.091735685,0.860253996,0.417524916,0.116041334,0.849201888,1,0.905728905,0.392443665,0.404472467,0.081864992,0.62906459,0.234117251,0.154752222,0.041538622,1,0.667751034,0.699651052,0.690845735,0.913105272,1,0.419195046,0.31729672,0.036759764,0.329919564,0.190784338,0.162262361,0.030794022,0.712964836,0.739015571,1,0.546903289,0.572279113,0.630213736,0.703900814,0.633938131,0.025102267,0.126578183,0.391338374,0.395990723,0.06486675,0.256055989,0.252850056,0.244592502,0.245855809,0.386609349,0.266147872,1,1,0.054562487,0.145942387,0.292321654,0.329987262,0.141176866,0.115294412,0.073886648,0.050063508,0.455693267,0.607590507,0.247968867,0.269275458,0.281798619,2442.040001,2630.158619,2593.89818,2623.78456,2499.367117,2725.901396,2606.665318,2707.36119,2681.11466,2820.252052,2697.650504,2750.083552,2672.00091,flammea
0.990611482,0.840846665,0.736797633,0.724527561,0.652825308,0.35238252,0.945708744,0.279491171,0.489900315,0.171510742,0.611266563,0.327779391,0.53020597,0.388583753,0.502333666,0.353353912,0.430318202,0.552529026,0.164108146,0.224276625,0.122027572,0.855942495,0.235992757,0.217624211,0.176812247,0.264882426,1,1,0.732227508,0.888109967,1,0.291143165,0.678968715,0.239955413,1,0.20724705,0.45502771,0.330832932,0.525863334,0.590718714,0.525464833,0.769540139,0.97382361,0.685777479,0.606387748,1,0.222130599,0.330394882,0.185057876,0.582134957,0.304908395,0.551636774,0.285946692,0.341103411,0.980569038,1,0.523124386,0.805719543,0.838116876,0.126656831,0.246588625,0.264075171,0.561174765,0.317388603,0.764843914,0.141217794,0.268552661,1,0.864953733,0.374322533,0.597386295,0.487085697,0.065944462,0.483901881,0.592079669,0.705726893,0.330282205,0.810661927,0.097156726,0.384122353,0.653825486,0.51150068,0.206831633,0.576322382,0.324079869,0.043722536,0.855833699,0.943360927,0.881326839,0.319916813,0.536602398,0.107566946,0.658278746,0.408090447,0.271887745,0.098344519,0.887502954,0.430936622,0.146427679,0.862604041,1,0.93314952,0.418708707,0.417168769,0.07555053,0.585944071,0.224383105,0.153141641,0.049040166,1,0.705316836,0.826262998,0.71490707,0.899641956,1,0.435598889,0.328643435,0.033289732,0.294156535,0.202014187,0.171551718,0.033061812,0.668818922,0.712020119,1,0.522349327,0.534251996,0.59117514,0.795234724,0.725384586,0.025999441,0.115815795,0.413592285,0.415303543,0.067300729,0.231214292,0.222030511,0.214466979,0.263455755,0.413505732,0.262249901,1,1,0.063601548,0.154649644,0.276225234,0.310674533,0.157210482,0.11478741,0.073847115,0.052877608,0.493561104,0.587778235,0.243809422,0.23519464,0.249899594,2447.586777,2629.828227,2594.51986,2635.421754,2557.78251,2725.541184,2606.481203,2707.587661,2681.489469,2820.335504,2697.067322,2750.710473,2671.093812,flammea
1,0.848720712,0.735955129,0.719884248,0.655765467,0.353271345,0.946463586,0.278823339,0.489769576,0.171704279,0.612703147,0.326157489,0.532930983,0.383514497,0.502472358,0.352880209,0.42693156,0.554857738,0.164101565,0.224308504,0.122460608,0.856304345,0.235275515,0.218160188,0.176121471,0.266193585,0.989723295,1,0.731318867,0.880763951,1,0.29162775,0.679347278,0.240062863,1,0.206700706,0.456363665,0.329362056,0.528607171,0.605640046,0.535039217,0.769438471,0.970809111,0.697255461,0.607547474,1,0.221490033,0.330337751,0.185409522,0.583272368,0.303695061,0.554045155,0.294786208,0.347885488,0.980589229,1,0.54427804,0.806787956,0.837213225,0.126294997,0.246807846,0.264483719,0.561902498,0.316762647,0.767675346,0.146745053,0.273396755,1,0.866828087,0.398782008,0.59790528,0.486286094,0.065841943,0.485074758,0.592296732,0.706003293,0.329863612,0.813408653,0.099693518,0.388405736,0.653827546,0.510552987,0.215571612,0.5764109,0.323219333,0.043852582,0.858034151,0.943228481,0.881358243,0.319186301,0.538226525,0.109372093,0.66438035,0.408015282,0.269833004,0.098826533,0.887363549,0.429763086,0.146672133,0.864423878,1,0.933222842,0.417683502,0.418019009,0.076157326,0.591432653,0.224384281,0.149006781,0.041343869,1,0.705372856,0.826593901,0.714017248,0.900467567,1,0.434522061,0.32893099,0.033529076,0.297231571,0.20212643,0.16854376,0.027973432,0.668984533,0.713225424,1,0.520715724,0.534794319,0.591380566,0.794763873,0.725349388,0.026157943,0.116966475,0.414233018,0.410424345,0.063294404,0.231263849,0.222233778,0.214373747,0.264107374,0.41335949,0.262447715,1,1,0.064261187,0.156008087,0.276592091,0.306205563,0.151636901,0.114694498,0.073825249,0.052993271,0.49522303,0.587167435,0.243440281,0.235017777,0.250206566,2446.009424,2630.276506,2594.830989,2619.066863,2496.942927,2725.359729,2606.39165,2707.697912,2681.678573,2820.374811,2696.776926,2751.022,2670.640026,flammea
1,0.912656358,0.719530295,0.724967548,0.679598442,0.342954429,0.91531598,0.258877077,0.505319162,0.172397284,0.609550834,0.318536883,0.507399939,0.325384768,0.465754003,0.309125154,0.382495726,0.494462832,0.154059579,0.192942203,0.103786948,0.766923894,0.254005124,0.20460178,0.152288444,0.226286191,0.9165828,1,0.687661063,0.865451226,1,0.279897968,0.626631415,0.216297997,1,0.209997707,0.42687311,0.30442548,0.485777746,0.636595667,0.579200189,0.731912651,0.946079431,0.706055995,0.571489351,1,0.217027826,0.33119959,0.182106152,0.58090034,0.288390458,0.508775016,0.3300063,0.389509859,0.947109013,1,0.571151746,0.800836075,0.851727997,0.125611126,0.233219922,0.243139598,0.541561775,0.295603361,0.725093532,0.157829221,0.289186117,1,0.885367082,0.411021062,0.615932424,0.512849524,0.06639408,0.42530935,0.539954233,0.658105799,0.313055699,0.79888594,0.100803758,0.384739493,0.685545026,0.546863892,0.227279671,0.553098658,0.31889715,0.040996679,0.794346259,0.912301813,0.851666763,0.298036528,0.544965439,0.110038603,0.680814612,0.419259208,0.285908358,0.102746935,0.854162374,0.409365923,0.111421792,0.854987027,1,0.900145415,0.383121624,0.406220341,0.084113728,0.655993673,0.236507304,0.152801483,0.03938996,1,0.658277378,0.675855697,0.683956897,0.919946226,1,0.411951502,0.317260985,0.03754927,0.349046237,0.18923791,0.15890066,0.030797061,0.723760274,0.748943761,1,0.544668508,0.584047586,0.639988501,0.683892417,0.616023415,0.025620258,0.133571743,0.388677648,0.384594295,0.060989717,0.262472942,0.261184821,0.251670636,0.244851552,0.381271385,0.268749668,1,1,0.053682175,0.147752103,0.298453638,0.329262043,0.132840306,0.115298668,0.074032226,0.050123505,0.455193592,0.608626264,0.247061871,0.277465811,0.291570307,2452.972682,2633.425397,2595.142286,2609.851697,2467.55075,2725.17741,2606.303754,2707.806121,2681.868805,2820.412498,2696.487354,2751.332217,2670.186091,flammea
